Name,License Description,Application Type,License Term Start Date,License Term Expiration Date,Date Issued,Latitude,Longitude,Location
Mac'S Bait Shop,Limited Business License,Renew,12-16-2014,12-15-2016,12-05-2014,41.7590815,-87.56782273,"(41.759081503895494, -87.56782273341827)"
"U. S. Concepts, Llc",Limited Business License,Renew,11-16-2014,11-15-2016,09-26-2014,41.89442147,-87.65369911,"(41.894421469387105, -87.65369910952782)"
Security Training Center Inc,Limited Business License,Renew,07-16-2013,07-15-2015,05-29-2013,41.69484951,-87.68140082,"(41.694849506218894, -87.6814008209341)"
Wacker Hardware Company,Limited Business License,Renew,05-16-2014,05-15-2016,05-12-2014,41.87774458,-87.65293694,"(41.877744575684154, -87.65293694173963)"
Madison Mini Mart,Tobacco Retail Over Counter,Renew,07-16-2014,07-15-2016,06-06-2014,41.88049014,-87.75443273,"(41.88049014080993, -87.75443273133736)"
Kelly'S Pub,Outdoor Patio,Renew,04-16-2015,04-15-2017,02-27-2015,41.92163662,-87.65300408,"(41.92163661876611, -87.65300408425684)"
Portillo'S Hot Dogs,Retail Food Establishment,Renew,02-16-2014,02-15-2016,01-08-2014,41.89333774,-87.6312445,"(41.89333773718407, -87.63124449621304)"
Patrick'S Tavern,Tavern,Renew,01-16-2014,01-15-2016,12-31-2013,41.79339121,-87.77821942,"(41.793391214258925, -87.7782194242791)"
Western Convenience Store,Retail Food Establishment,Issue,09-26-2013,10-15-2015,09-26-2013,41.78044754,-87.68381968,"(41.780447537755876, -87.68381968063304)"
Hatatitude,Limited Business License,Issue,04-22-2015,05-15-2017,04-22-2015,41.73682856,-87.58393732,"(41.73682856198407, -87.58393731927703)"
Pure Kitchen Catering,Caterer's Liquor License,Issue,09-17-2013,09-15-2015,09-17-2013,41.89036756,-87.65883634,"(41.890367558626615, -87.65883633970141)"
Gil Sewing Corp.,Limited Business License,Renew,08-16-2013,08-15-2015,07-19-2013,41.94451538,-87.7373433,"(41.944515376430275, -87.7373433041972)"
Sand-Rite Mfg Co,Limited Business License,Renew,05-16-2014,05-15-2016,05-13-2014,41.88723511,-87.66534767,"(41.88723511420791, -87.66534767026657)"
Gateway Newstand,Tobacco Retail Over Counter,Renew,09-16-2014,09-15-2016,09-15-2014,41.87779165,-87.63652434,"(41.877791648104406, -87.63652434443534)"
Ritchie'S,Tobacco Retail Over Counter,Renew,10-16-2013,10-15-2015,10-02-2013,41.78652677,-87.69311456,"(41.78652676834002, -87.69311455891014)"
Dapper'S East Restaurant,Retail Food Establishment,Renew,12-16-2014,12-15-2016,12-12-2014,41.94655283,-87.70053577,"(41.94655282616904, -87.700535765616)"
Old Chocolate Factory,Limited Business License,Renew,11-16-2013,11-15-2015,10-08-2013,41.89883921,-87.74411703,"(41.89883920956581, -87.74411703091528)"
Reggie'S Bar & Grill,Outdoor Patio,Renew,06-16-2014,06-15-2016,06-11-2014,41.85406377,-87.62696054,"(41.85406376900946, -87.6269605360631)"
Club 81 Too Llc,Retail Food Establishment,Renew,10-16-2013,10-15-2015,08-29-2013,41.65561555,-87.53732679,"(41.655615547494044, -87.5373267933986)"
La Gondola,Retail Food Establishment,Renew,02-16-2015,02-15-2017,02-09-2015,41.93467889,-87.66862497,"(41.93467889167928, -87.66862496860755)"
Parkside Food Store Inc,Tobacco Retail Over Counter,Renew,10-16-2014,10-15-2016,10-15-2014,41.7724436,-87.65425192,"(41.7724435945988, -87.65425192159404)"
Bardan'S Custom Van & Accessories,Limited Business License,Renew,10-16-2014,10-15-2016,10-17-2014,41.78472792,-87.72307467,"(41.784727915026316, -87.72307467046767)"
Landlord Depot,Limited Business License,Renew,12-16-2014,12-15-2016,03-16-2015,41.76588796,-87.58418395,"(41.76588795483863, -87.58418394923626)"
Bp,Filling Station,Renew,01-16-2015,01-15-2017,01-20-2015,41.90940466,-87.75476387,"(41.909404662965976, -87.75476387362707)"
Johnnie Blue,Retail Food Establishment,Renew,12-16-2014,12-15-2016,01-07-2015,41.96845445,-87.69461992,"(41.96845444863656, -87.69461991509863)"
Sorini Ring Mfg Co,Manufacturing Establishments,Renew,12-16-2013,12-15-2015,10-29-2013,41.84655206,-87.68125184,"(41.846552060058336, -87.6812518370052)"
Chicago Oriental Construction Inc.,Regulated Business License,Renew,06-16-2014,06-15-2016,05-23-2014,41.85665718,-87.63875335,"(41.856657178159764, -87.63875334531697)"
Mare'S Mini Mart & Deli,Retail Food Establishment,Renew,10-16-2013,10-15-2015,09-19-2013,41.94521258,-87.82372778,"(41.94521257883548, -87.82372778017668)"
Quikorder Inc.,Limited Business License,Renew,02-16-2014,02-15-2016,03-10-2014,41.88982704,-87.63751199,"(41.88982704094863, -87.63751198892537)"
J & L Hardware Company,Limited Business License,Renew,06-16-2013,06-15-2015,06-13-2013,41.79378838,-87.69450284,"(41.79378838359582, -87.69450283483481)"
Pine Roofing Co Inc,Limited Business License,Renew,09-16-2013,09-15-2015,07-30-2013,41.98031142,-87.70894059,"(41.98031141769369, -87.70894058612427)"
American Linens & Furniture Inc,Limited Business License,Issue,11-22-2013,12-15-2015,11-22-2013,41.7072067,-87.61370308,"(41.70720669695179, -87.61370307804555)"
Coles Appliances & Furniture,Limited Business License,Renew,12-16-2014,12-15-2016,11-17-2014,41.9549659,-87.67948737,"(41.95496589573254, -87.67948736674653)"
The Crocodile,Consumption on Premises - Incidental Activity,Renew,11-16-2014,11-15-2016,11-07-2014,41.90942003,-87.67619508,"(41.909420030729095, -87.67619508256817)"
"Saint Christopher Journeys, Llc",Regulated Business License,Issue,05-13-2014,05-15-2016,05-13-2014,42.01828737,-87.66755265,"(42.01828736904738, -87.6675526499459)"
Ritz- Carlton Water Tower,Consumption on Premises - Incidental Activity,Renew,03-16-2015,03-15-2017,02-27-2015,41.89770258,-87.62346196,"(41.89770258097883, -87.62346195629931)"
J & J Lounge,Tavern,Renew,07-16-2014,07-15-2016,07-15-2014,41.75441736,-87.6442876,"(41.75441736090705, -87.64428760234382)"
"Purchasing Platform, Llc",Limited Business License,Issue,03-16-2015,03-15-2017,03-16-2015,41.88432406,-87.64169523,"(41.884324056123106, -87.64169522815999)"
Maryla Beauty Shop,Limited Business License,Renew,08-16-2013,08-15-2015,07-29-2013,41.95771169,-87.75212337,"(41.95771168619152, -87.75212336670785)"
Nail & Spa O,Limited Business License,Renew,01-16-2015,01-15-2017,01-20-2015,41.92814251,-87.70548984,"(41.92814250896859, -87.70548983497525)"
Americana Submarine,Retail Food Establishment,Renew,10-16-2014,10-15-2016,10-15-2014,41.87681825,-87.6308945,"(41.876818253090505, -87.63089450000888)"
Katie B'S,Limited Business License,Issue,06-24-2013,07-15-2015,06-24-2013,41.94936491,-87.66393312,"(41.949364912786166, -87.66393312220045)"
Nancy Corzine,Limited Business License,Renew,05-16-2014,05-15-2016,04-29-2014,41.88807428,-87.6349552,"(41.8880742810662, -87.63495520292739)"
Acs Property Management And Office Cleaning,Limited Business License,Issue,10-09-2014,10-15-2016,10-09-2014,41.88304592,-87.65974385,"(41.883045919386305, -87.65974384587193)"
Grace'S Unisex Beauty Salon,Limited Business License,Renew,11-16-2013,11-15-2015,11-12-2013,41.92473976,-87.69321416,"(41.92473976236031, -87.69321415925143)"
Joe Fish,Retail Food Establishment,Renew,05-16-2015,05-15-2017,04-22-2015,41.89058111,-87.62947503,"(41.890581105655016, -87.62947502886496)"
Roots & Culture,Limited Business License,Renew,12-16-2014,12-15-2016,11-19-2014,41.90062367,-87.66244196,"(41.90062366665023, -87.66244195815108)"
Bdl Compliance Consulting,Limited Business License,Renew,09-16-2014,09-15-2016,09-12-2014,41.87928364,-87.6371007,"(41.87928363996398, -87.63710070443776)"
Andrews Automotive Corp,Limited Business License,Renew,07-16-2014,07-15-2016,07-31-2014,41.71209404,-87.55958389,"(41.71209404394657, -87.55958389260829)"
G7 Electronics Inc.,Secondhand Dealer (No Valuable Objects),Issue,10-30-2014,03-15-2016,10-30-2014,41.95279613,-87.78735524,"(41.95279612959814, -87.78735523774208)"
Joy Cleaners,Limited Business License,Renew,04-16-2014,04-15-2016,04-10-2014,41.93438586,-87.66861519,"(41.93438585986303, -87.66861519226335)"
Carnival Grocery Store,Package Goods,Renew,04-16-2015,04-15-2017,03-16-2015,41.92022011,-87.64124292,"(41.92022010567366, -87.64124292121636)"
"Tc Food Market, Inc.",Tobacco Retail Over Counter,Issue,04-22-2015,05-15-2017,04-22-2015,41.88413799,-87.69630389,"(41.88413798723489, -87.69630388970018)"
"Yogurt'S La Michoacana Corp.,",Retail Food Establishment,Issue,07-21-2014,08-15-2016,07-21-2014,41.96827298,-87.71511749,"(41.96827298295169, -87.71511748697928)"
Global Risk Consultants Corp.,Limited Business License,Renew,03-16-2014,03-15-2016,02-11-2014,41.88310096,-87.63126322,"(41.88310096249641, -87.63126322078455)"
Okocim Bar & Grill,Tobacco Retail Over Counter,Renew,10-16-2013,10-15-2015,09-23-2013,41.94536819,-87.7960435,"(41.94536819189902, -87.79604350308765)"
Golden Design,Limited Business License,Issue,09-18-2013,10-15-2015,09-18-2013,41.81944143,-87.66537555,"(41.81944142629576, -87.6653755449091)"
Lake Point Cleaners Ii,Limited Business License,Renew,05-16-2015,05-15-2017,04-22-2015,41.88557552,-87.64291679,"(41.88557552134349, -87.64291678864573)"
"One Stop Roofing & Construction Repair, Inc.",Regulated Business License,Issue,08-15-2014,09-15-2016,08-15-2014,41.96324116,-87.76117461,"(41.96324115603642, -87.76117460692873)"
Stirling Tai Chi Society,Regulated Business License,Issue,08-14-2014,08-15-2016,08-14-2014,41.90224268,-87.66731815,"(41.90224268271283, -87.6673181506456)"
Irving Park News Stand & Grocery Store,Tobacco Retail Over Counter,Issue,11-08-2013,11-15-2015,11-08-2013,41.95351001,-87.73049308,"(41.95351001006341, -87.73049308143094)"
Bialystok Monk Chicago Inc,Retail Food Establishment,Renew,11-16-2013,11-15-2015,11-05-2013,41.93177325,-87.71933833,"(41.931773251903934, -87.71933832858234)"
Laurie M Erickson,Regulated Business License,Issue,04-24-2014,05-15-2016,04-24-2014,42.00689819,-87.69288732,"(42.00689819088885, -87.69288732278311)"
Adriatic,Consumption on Premises - Incidental Activity,Renew,06-16-2014,06-15-2016,08-07-2014,41.98327949,-87.66856311,"(41.98327949189041, -87.66856310731372)"
"Rock N Roll Vintage , Inc.",Secondhand Dealer (Includes Valuable Objects),Renew,09-16-2013,09-15-2015,09-05-2013,41.96760226,-87.68807237,"(41.96760226238872, -87.68807236590327)"
Ben & Jerry'S Ice Cream,Mobile Food License,Issue,08-07-2014,08-15-2016,08-07-2014,41.84467072,-87.65496222,"(41.84467072147077, -87.6549622241458)"
Edens Accounting & Tax Service,Limited Business License,Renew,02-16-2015,02-15-2017,02-13-2015,41.9971322,-87.72813034,"(41.997132194528575, -87.72813033924994)"
Blue Plate Catering Ltd.,Caterer's Liquor License,Renew,05-16-2014,05-15-2016,03-28-2014,41.87645615,-87.6542958,"(41.87645614541188, -87.65429579519606)"
Land Enterprises Inc.,Limited Business License,Renew,07-16-2014,07-15-2016,05-29-2014,41.93794368,-87.69275471,"(41.937943678724565, -87.69275471054956)"
"Alternate Reality, Inc.",Limited Business License,Renew,04-16-2014,04-15-2016,02-13-2015,41.69146293,-87.70034376,"(41.691462931796316, -87.70034375543057)"
Sofitel Chicago Water Tower,Consumption on Premises - Incidental Activity,Renew,03-16-2015,03-15-2017,02-27-2015,41.89844464,-87.62740564,"(41.898444636675144, -87.62740563976503)"
Element Multisport,Limited Business License,Renew,04-16-2015,04-15-2017,03-16-2015,41.93118733,-87.6770556,"(41.931187333954206, -87.6770555951477)"
Candyality,Retail Food Establishment,Renew,03-16-2015,03-15-2017,03-16-2015,41.89168852,-87.62430718,"(41.89168851736832, -87.62430717812579)"
Rick'S Logistics Inc,Limited Business License,Renew,01-16-2015,01-15-2017,12-30-2014,41.91671632,-87.76098883,"(41.91671632373776, -87.76098882645267)"
Glass Block Factory Of Illinois Inc.,Regulated Business License,Issue,04-22-2015,05-15-2017,04-22-2015,41.93104995,-87.78955567,"(41.93104995248136, -87.78955567185149)"
Buck Town Food & Liquors,Package Goods,Renew,11-16-2013,11-15-2015,10-25-2013,41.91679583,-87.68760087,"(41.91679583017271, -87.68760086466312)"
St. Marys Cement Inc. (Us),Limited Business License,Renew,10-16-2013,10-15-2015,10-08-2013,41.67430663,-87.60028653,"(41.67430662686268, -87.60028652845189)"
"Route One Realty, Inc.",Limited Business License,Issue,12-05-2013,12-15-2015,12-05-2013,41.96019409,-87.75427301,"(41.960194088149535, -87.75427300881448)"
A Pete'S Sewerage,Regulated Business License,Renew,08-16-2013,08-15-2015,11-22-2013,41.93764983,-87.74333639,"(41.93764983072898, -87.7433363938149)"
Chapman Strategic Advisors Llc,Limited Business License,Issue,01-10-2014,01-15-2016,01-10-2014,41.88058227,-87.63120101,"(41.88058226633408, -87.63120100893529)"
Amfix Jewelry & Watch Repair Llc,Limited Business License,Renew,09-16-2014,09-15-2016,08-18-2014,41.88582205,-87.63230374,"(41.885822047853026, -87.63230373508567)"
Morgan Services Inc,Limited Business License,Renew,01-16-2014,01-15-2016,01-09-2014,41.88733595,-87.62440249,"(41.88733595001114, -87.624402490931)"
Deluxe Diner,Consumption on Premises - Incidental Activity,Renew,08-16-2013,08-15-2015,08-12-2013,41.99766626,-87.67033502,"(41.997666262610586, -87.67033501550262)"
Valcucine Chicago,Limited Business License,Renew,05-16-2014,05-15-2016,03-28-2014,41.88807428,-87.6349552,"(41.8880742810662, -87.63495520292739)"
Zapateria Michorcan,Limited Business License,Renew,06-16-2013,06-15-2015,06-14-2013,41.79799187,-87.72344374,"(41.797991869962225, -87.723443740796)"
City Mini Golf,Regulated Business License,Issue,06-11-2013,06-15-2015,06-11-2013,41.94074162,-87.66698788,"(41.94074162207914, -87.66698787656503)"
Ceylons Convenient Store,Tobacco Retail Over Counter,Issue,10-23-2013,09-15-2015,10-23-2013,41.96543519,-87.66117219,"(41.965435189323436, -87.66117218838588)"
Edgewater Fitness Center,Regulated Business License,Issue,11-18-2013,12-15-2015,11-18-2013,41.98376319,-87.65835372,"(41.98376319069176, -87.65835372029822)"
Hollywood Broadway Shell,Filling Station,Renew,08-16-2013,08-15-2015,07-15-2013,41.98547919,-87.65997884,"(41.985479187914706, -87.65997884249269)"
Chicago Green Windows,Regulated Business License,Renew,11-16-2014,11-15-2016,10-01-2014,41.90233735,-87.67708557,"(41.9023373516487, -87.67708556637879)"
Filonek'S,Tavern,Renew,11-16-2014,11-15-2016,11-18-2014,41.99418953,-87.78468949,"(41.99418952580172, -87.78468948624445)"
"Titan Marble & Granite Group, Inc Dba Titan Stone Inc",Regulated Business License,Renew,08-16-2013,08-15-2015,08-14-2013,41.93889192,-87.75031931,"(41.938891915071515, -87.75031930914919)"
Stephanie Elaine Manuel,Peddler License,Issue,09-18-2014,10-15-2016,09-18-2014,41.73290403,-87.60357167,"(41.7329040337323, -87.60357167414232)"
Dingers,Tavern,Renew,07-16-2013,07-15-2015,07-18-2013,41.69973489,-87.68155515,"(41.69973489215776, -87.68155515420568)"
Yasir Corporation,Limited Business License,Renew,09-16-2013,09-15-2015,09-19-2013,41.96844757,-87.719163,"(41.968447574062616, -87.71916300284474)"
I-C Spring,Motor Vehicle Services License,Renew,02-16-2015,02-15-2017,01-07-2015,41.94504834,-87.65441006,"(41.94504834246033, -87.654410059451)"
Marine Terrace Cleaner,Limited Business License,Renew,06-16-2014,06-15-2016,05-06-2014,41.95792555,-87.64648324,"(41.95792554646546, -87.64648324306474)"
Weber Press Inc,Limited Business License,Renew,02-16-2015,02-15-2017,12-30-2014,41.98637896,-87.68968206,"(41.98637896360367, -87.68968205806593)"
El Nuevo Naranjo Lounge,Tavern,Renew,11-16-2013,11-15-2015,11-18-2013,41.92092128,-87.69434881,"(41.920921282115486, -87.69434880817748)"
Accent Chicago,Limited Business License,Renew,06-16-2013,06-15-2015,05-14-2013,41.89774086,-87.62396132,"(41.897740856252504, -87.62396131598219)"
Saigon Sisters,Retail Food Establishment,Renew,05-16-2013,05-15-2015,04-24-2013,41.88418751,-87.64111967,"(41.884187507127805, -87.64111966683218)"
Fiore Delicatessen,Tobacco Retail Over Counter,Renew,09-16-2014,09-15-2016,09-12-2014,41.89317144,-87.68419975,"(41.89317144188936, -87.68419975235183)"
American Trade Magazines Llc,Limited Business License,Renew,07-16-2013,07-15-2015,05-29-2013,41.88581382,-87.6425245,"(41.885813818890426, -87.64252449646676)"
"Cor Creative, Inc",Limited Business License,Issue,09-25-2013,10-15-2015,09-25-2013,42.01618431,-87.66674975,"(42.01618431415579, -87.6667497490001)"
North Buena Market,Retail Food Establishment,Issue,11-06-2013,11-15-2015,11-06-2013,41.95848356,-87.65321449,"(41.95848356330247, -87.65321448916944)"
Kloeckner Metals Corporation,Manufacturing Establishments,Renew,10-16-2013,10-15-2015,11-18-2013,41.64900754,-87.55916463,"(41.649007538483055, -87.55916462709274)"
Citgo,Filling Station,Issue,09-25-2014,10-15-2016,09-25-2014,41.87475045,-87.7253137,"(41.87475044702608, -87.72531369682724)"
Little Miracles Child Care Inc.,Children's Services Facility License,Renew,11-16-2013,11-15-2015,04-15-2014,41.89529823,-87.72170828,"(41.89529823218718, -87.72170827987485)"
Cozy Corner Diner & Pancake House,Retail Food Establishment,Renew,01-16-2015,01-15-2017,12-08-2014,41.93177288,-87.73667582,"(41.93177288210169, -87.73667582038387)"
Crossfit Commitment,Regulated Business License,Issue,07-15-2014,08-15-2016,07-15-2014,41.86701903,-87.6484553,"(41.867019030339854, -87.64845530316175)"
Small Bar #1,Retail Food Establishment,Renew,12-16-2014,12-15-2016,12-10-2014,41.9355477,-87.70521895,"(41.93554769753773, -87.70521894972788)"
Dineesha Cook-Bey,Limited Business License,Issue,07-24-2013,08-15-2015,07-24-2013,41.87856015,-87.63652387,"(41.87856015362371, -87.63652387205532)"
Chicago Hilton & Towers,Consumption on Premises - Incidental Activity,Renew,10-16-2014,10-15-2016,09-19-2014,41.87279887,-87.62433781,"(41.87279886935482, -87.62433781031022)"
Happy Cleaners Ii,Limited Business License,Renew,06-16-2014,06-15-2016,05-28-2014,41.860227,-87.62253033,"(41.86022699584694, -87.62253032593094)"
"Mana Discount, Inc.",Tobacco Retail Over Counter,Issue,01-31-2014,02-15-2016,01-31-2014,41.72149951,-87.57518642,"(41.721499512947, -87.57518642291684)"
Dr L Munsayak,Animal Care License,Renew,10-16-2013,10-15-2015,10-03-2013,41.77860942,-87.73633539,"(41.77860941710039, -87.73633539185526)"
Madison Subway Llc,Retail Food Establishment,Renew,03-16-2014,03-15-2016,02-19-2014,41.88208114,-87.63151341,"(41.882081136557176, -87.6315134139163)"
"Velocity Cleaning Services, Inc.",Regulated Business License,Renew,03-16-2015,03-15-2017,03-16-2015,41.93857633,-87.70031298,"(41.938576332834835, -87.70031297629801)"
"Avant, Inc.",Limited Business License,Renew,01-16-2015,01-15-2017,01-14-2015,41.89360787,-87.63280056,"(41.893607873522136, -87.63280056088303)"
Zeus Auto Parts Inc.,Limited Business License,Renew,09-16-2013,09-15-2015,08-30-2013,41.74471461,-87.67549915,"(41.74471460514321, -87.67549915075645)"
Lake City Cleaners,Regulated Business License,Issue,03-25-2014,04-15-2016,03-25-2014,41.92946443,-87.63940396,"(41.92946443263831, -87.63940395820882)"
Stocks & Blondes Bar & Grille,Retail Food Establishment,Renew,09-16-2014,09-15-2016,02-04-2015,41.8829406,-87.63400629,"(41.882940596901925, -87.63400628630511)"
Takashi Restaurant,Consumption on Premises - Incidental Activity,Renew,11-16-2013,11-15-2015,10-22-2013,41.91744057,-87.67775724,"(41.91744056947377, -87.67775723723447)"
Affinity Salon & Spa,Limited Business License,Issue,09-16-2014,10-15-2016,09-16-2014,41.93714384,-87.64415612,"(41.93714384090968, -87.64415612243626)"
1St Chop Suey,Retail Food Establishment,Renew,02-16-2014,02-15-2016,01-17-2014,41.79590541,-87.76041016,"(41.795905405807005, -87.7604101550318)"
Wal - Mor,Limited Business License,Renew,09-16-2013,09-15-2015,03-12-2014,41.69622418,-87.63315374,"(41.69622418166689, -87.63315373521385)"
Olenick & Associates,Limited Business License,Renew,09-16-2014,09-15-2016,08-18-2014,41.8867073,-87.63415039,"(41.886707304096035, -87.63415039321221)"
Mota Martial Arts,Limited Business License,Renew,05-16-2013,05-15-2015,04-19-2013,41.8411481,-87.65871863,"(41.84114809637181, -87.65871862702555)"
Air Design Systems Inc,Limited Business License,Renew,03-16-2015,03-15-2017,03-16-2015,,,
"Lakewood Development, Inc.",Regulated Business License,Issue,05-21-2013,06-15-2015,05-21-2013,41.93387023,-87.66375628,"(41.93387022500305, -87.66375627575319)"
Skyboxx Mens Spa Incorporated,Limited Business License,Renew,04-16-2015,04-15-2017,04-22-2015,41.7609103,-87.64415787,"(41.76091030040433, -87.64415787029333)"
Amigo Loan Company,Pawnbroker,Renew,12-16-2013,12-15-2015,11-12-2013,41.85810732,-87.66147351,"(41.85810732330307, -87.66147350502278)"
Noure'S Oriental Rugs Inc,Limited Business License,Renew,05-16-2014,05-15-2016,04-21-2014,41.88807428,-87.6349552,"(41.8880742810662, -87.63495520292739)"
Carniceria La Gloria,Retail Food Establishment,Renew,06-16-2013,06-15-2015,06-05-2013,41.80096928,-87.6887221,"(41.80096927632034, -87.68872209871739)"
Warriors Martial Arts,Children's Services Facility License,Renew,08-16-2014,08-15-2016,08-08-2014,41.77877584,-87.72210747,"(41.77877584447439, -87.72210746989846)"
Economy Pallets Inc,Manufacturing Establishments,Renew,01-16-2014,01-15-2016,11-26-2013,41.82328999,-87.66322744,"(41.82328998625505, -87.66322744064935)"
Gallery Of Hair Inc,Limited Business License,Renew,10-16-2013,10-15-2015,09-11-2013,41.9529842,-87.78908383,"(41.95298420287931, -87.78908383095457)"
"Fountain-Jordan-Shepard Funeral Home, Inc",Limited Business License,Renew,05-16-2015,05-15-2017,04-22-2015,41.87434007,-87.74518894,"(41.87434006611702, -87.7451889410001)"
Chester Appliances,Limited Business License,Renew,12-16-2014,12-15-2016,12-16-2014,41.80197302,-87.66493808,"(41.80197302204944, -87.66493808106453)"
Five Starz Food Mart Company,Retail Food Establishment,Renew,12-16-2014,12-15-2016,11-13-2014,41.75098985,-87.64390459,"(41.75098985200617, -87.64390459338472)"
Sushi Samba,Retail Food Establishment,Renew,02-16-2014,02-15-2016,05-06-2014,41.89095521,-87.63420044,"(41.89095520641464, -87.63420043676278)"
233 Broadcast Llc,Limited Business License,Renew,09-16-2014,09-15-2016,09-03-2014,41.87856015,-87.63652387,"(41.87856015362371, -87.63652387205532)"
The Maintenance Group,Regulated Business License,Renew,01-16-2015,01-15-2017,01-12-2015,41.75195476,-87.59321273,"(41.75195476073421, -87.5932127342133)"
Zzumba,Regulated Business License,Issue,04-22-2014,05-15-2016,04-22-2014,41.92020341,-87.77305745,"(41.92020340754154, -87.77305745447971)"
Ree-Think Fitness,Regulated Business License,Renew,06-16-2013,06-15-2015,06-25-2013,41.79254399,-87.68211096,"(41.79254398664953, -87.68211095972659)"
"Associated Publications, Inc.",Limited Business License,Renew,03-16-2015,03-15-2017,03-16-2015,41.89894854,-87.62397499,"(41.898948541729865, -87.62397498768968)"
Secrets',Limited Business License,Renew,03-16-2015,03-15-2017,03-16-2015,41.75913118,-87.63106018,"(41.75913118423378, -87.63106018239282)"
Ideal Dental Lab,Limited Business License,Renew,01-16-2015,01-15-2017,04-22-2015,41.92167131,-87.78103836,"(41.921671312306444, -87.7810383618699)"
Best Beauty Supplies,Limited Business License,Renew,03-16-2014,03-15-2016,03-04-2014,41.80947207,-87.61792386,"(41.80947206660872, -87.61792386218983)"
Plaza Mimi Mart,Package Goods,Renew,12-16-2013,12-15-2015,12-18-2013,41.96806582,-87.75354881,"(41.96806581465567, -87.7535488078015)"
300  Convenience,Retail Food Establishment,Renew,10-16-2013,10-15-2015,10-10-2013,41.88752864,-87.63264684,"(41.887528639656935, -87.63264683652446)"
Nexstep Llc,Limited Business License,Renew,02-16-2014,02-15-2016,01-06-2014,41.89756507,-87.63705957,"(41.89756506821916, -87.63705957317521)"
Cm1 Construction & Windows Inc.,Regulated Business License,Renew,12-16-2014,12-15-2016,12-05-2014,41.78627765,-87.69466065,"(41.78627764904483, -87.694660645516)"
Paco'S Tacos 2,Retail Food Establishment,Renew,10-16-2013,10-15-2015,09-03-2013,41.78309273,-87.72303138,"(41.78309273393453, -87.72303137499999)"
Windy City Re Llc,Regulated Business License,Renew,08-16-2014,08-15-2016,07-01-2014,41.8966406,-87.62310848,"(41.89664060044872, -87.62310848128774)"
"Medical Supply For You, Llc",Limited Business License,Renew,10-16-2014,10-15-2016,09-09-2014,41.99798231,-87.66930587,"(41.99798230762319, -87.66930586791973)"
"Corliss Shell,  Dunkin Donut,Mr Sub",Tobacco Retail Over Counter,Renew,09-16-2013,09-15-2015,09-17-2013,41.69286048,-87.60074188,"(41.69286047718907, -87.60074187522434)"
Brass Monkey Brasserie,Consumption on Premises - Incidental Activity,Issue,02-06-2015,02-15-2017,02-06-2015,41.88903824,-87.65209006,"(41.88903824289138, -87.65209006191907)"
Patio Theatre,Retail Food Establishment,Renew,05-16-2013,05-15-2015,11-21-2014,41.95315398,-87.77717789,"(41.95315397886522, -87.77717789155297)"
95Th Chicago Ck Shell,Tobacco Retail Over Counter,Renew,04-16-2014,04-15-2016,04-17-2014,41.72222993,-87.58500155,"(41.722229925378784, -87.58500154936026)"
Buffalo Wild Wings Grill & Bar,Consumption on Premises - Incidental Activity,Issue,09-25-2013,10-15-2015,09-25-2013,41.91427574,-87.65442049,"(41.91427573915763, -87.6544204896131)"
Caffe & Restaurant Yugoslavia,Consumption on Premises - Incidental Activity,Renew,09-16-2013,09-15-2015,08-22-2013,41.96845247,-87.69487468,"(41.96845247365508, -87.69487467681566)"
Mz. La Hair Studio,Limited Business License,Issue,05-31-2013,06-15-2015,05-31-2013,41.7644889,-87.68929524,"(41.764488895346325, -87.68929523918906)"
Jerry Zalewski,Regulated Business License,Renew,08-16-2013,08-15-2015,08-02-2013,41.94414214,-87.75091192,"(41.9441421387098, -87.75091192309246)"
Tiztal Cafe Inc.,Retail Food Establishment,Renew,07-16-2013,07-15-2015,06-06-2014,41.96621963,-87.66678701,"(41.96621962974224, -87.66678700671893)"
Neveria Y Paleteria La Sol-Is Co.,Retail Food Establishment,Issue,09-24-2013,10-15-2015,09-24-2013,41.93100243,-87.79501517,"(41.93100243099078, -87.79501516869296)"
Ten Shades Salon,Limited Business License,Renew,07-16-2013,07-15-2015,07-15-2013,41.71234524,-87.68194689,"(41.712345236422806, -87.68194689137457)"
Full Season Hvac Inc.,Limited Business License,Renew,12-16-2013,12-15-2015,12-06-2013,41.9617007,-87.75522864,"(41.961700700121405, -87.7552286416355)"
Orbit Room Chicago,Retail Food Establishment,Renew,12-16-2014,12-15-2016,11-10-2014,41.93562554,-87.69757532,"(41.935625542674586, -87.69757531622648)"
Illinois Home Health Services Inc,Limited Business License,Renew,10-16-2013,10-15-2015,10-16-2013,42.01224972,-87.69662872,"(42.012249720325045, -87.69662872031726)"
Deeva'S Styles,Limited Business License,Issue,10-17-2014,11-15-2016,10-17-2014,41.86559767,-87.77219479,"(41.86559767218727, -87.77219478710525)"
Jaks Tap,Retail Food Establishment,Renew,05-16-2014,05-15-2016,05-01-2014,41.87779927,-87.64963393,"(41.87779927285466, -87.64963392770662)"
"Eugene S Gordon Woodwind, Inc",Limited Business License,Renew,10-16-2014,10-15-2016,10-06-2014,41.87670765,-87.62442948,"(41.87670765183466, -87.62442947950342)"
Super Mall,Limited Business License,Renew,06-16-2015,06-15-2017,04-22-2015,41.79799187,-87.72344374,"(41.797991869962225, -87.723443740796)"
